Quarter,Time,Down,ToGo,Location,NOR,GNB,Detail,EPB,EPA
,,,,,,,Saints won the coin toss and deferred Packers to receive the opening kickoff.,,
1,15:00,,,NOR 35,0,0,Blake Grupe kicks off 66 yards returned by Keisean Nixon for 38 yards (tackle by Adam Prentice and J.T. Gray),0.000,1.400
1,14:55,1,10,GNB 37,0,0,Jayden Reed left end for 5 yards (tackle by Will Harris),1.400,1.530
1,14:17,2,5,GNB 42,0,0,Josh Jacobs up the middle for -1 yards (tackle by Cameron Jordan),1.530,0.700
1,13:53,3,6,GNB 41,0,0,Penalty on Cameron Jordan: Neutral Zone Infraction 5 yards (accepted) (no play),0.700,1.360
1,13:41,3,1,GNB 46,0,0,Josh Jacobs right end for 3 yards (tackle by Ugo Amadi),1.360,2.190
1,12:50,1,10,GNB 49,0,0,Josh Jacobs left end for 7 yards (tackle by John Ridgeway),2.190,2.590
1,12:10,2,3,NOR 44,0,0,Jordan Love pass complete short right to Josh Jacobs for 11 yards (tackle by Pete Werner and Demario Davis),2.590,3.380
1,11:24,1,10,NOR 33,0,0,Jordan Love pass complete short right to Tucker Kraft for 12 yards (tackle by Demario Davis),3.380,4.170
1,10:44,1,10,NOR 21,0,0,Josh Jacobs right end for 20 yards (tackle by Tyrann Mathieu),4.170,6.970
1,10:03,1,1,NOR 1,0,0,Josh Jacobs up the middle for no gain (tackle by Cameron Jordan and Khalen Saunders),6.970,5.910
1,9:23,2,1,NOR 1,0,0,Jordan Love pass complete short middle to Dontayvion Wicks for -1 yards (tackle by Khalen Saunders),5.910,4.950
1,8:45,3,2,NOR 2,0,6,Jordan Love pass complete short middle to Dontayvion Wicks for 2 yards touchdown,4.950,7.000
1,8:41,,,NOR 15,0,7,Brandon McManus kicks extra point good,0.000,0.000
1,8:41,,,GNB 35,0,7,Brandon McManus kicks off 63 yards returned by Dante Pettis for 32 yards (tackle by Bo Melton and Eric Wilson),0.000,1.200
1,8:36,1,10,NOR 34,0,7,Spencer Rattler scrambles right end for 7 yards (tackle by Eric Wilson),1.200,1.600
1,8:02,2,3,NOR 41,0,7,Kendre Miller left guard for 4 yards (tackle by Rashan Gary),1.600,1.930
1,7:29,1,10,NOR 45,0,7,Spencer Rattler pass complete short middle to Foster Moreau for 12 yards (tackle by Zayne Anderson),1.930,2.720
1,6:55,1,10,GNB 43,0,7,Kendre Miller right end for no gain (tackle by Devonte Wyatt and Colby Wooden),2.720,2.180
1,6:22,2,10,GNB 43,0,7,Jamaal Williams up the middle for 3 yards (tackle by Devonte Wyatt),2.180,1.880
1,5:47,3,7,GNB 40,0,7,Spencer Rattler pass incomplete short left intended for Kevin Austin,1.880,0.590
1,5:44,4,7,GNB 40,0,7,Penalty on Lucas Patrick: False Start 5 yards (accepted) (no play),0.590,0.270
1,5:44,4,12,GNB 45,0,7,Matthew Hayball punts 37 yards fair catch by Jayden Reed at GB-8. Penalty on Kingsley Enagbare: Offensive Holding 4 yards (accepted),0.270,0.380
1,5:38,1,10,GNB 4,0,7,Jordan Love pass incomplete short right,-0.380,-0.780
1,5:32,2,10,GNB 4,0,7,Josh Jacobs up the middle for 4 yards (tackle by Will Harris and Khalen Saunders),-0.780,-0.950
1,4:56,3,6,GNB 8,0,7,Penalty on Tanoh Kpassagnon: Neutral Zone Infraction 5 yards (accepted) (no play),-0.950,-0.370
1,4:38,3,1,GNB 13,0,7,Tucker Kraft up the middle for 2 yards (tackle by Ugo Amadi and Payton Turner),-0.370,-0.220
1,3:52,1,10,GNB 15,0,7,Jordan Love pass complete short left to Josh Jacobs for 13 yards (tackle by Tyrann Mathieu),-0.220,0.810
1,3:15,1,10,GNB 28,0,7,Josh Jacobs left end for 3 yards (tackle by Pete Werner),0.810,0.670
1,2:33,2,7,GNB 31,0,7,Jordan Love pass incomplete short middle intended for Dontayvion Wicks (defended by Alontae Taylor),0.670,-0.030
1,2:26,3,7,GNB 31,0,7,Jordan Love pass complete short middle to Romeo Doubs for 15 yards (tackle by Kool-Aid McKinstry),-0.030,1.990
1,1:43,1,10,GNB 46,0,7,Jordan Love pass incomplete short left,1.990,1.450
1,1:36,2,10,GNB 46,0,7,Jordan Love pass complete short right to Josh Jacobs for 8 yards (tackle by Alontae Taylor and Khalen Saunders),1.450,1.820
1,0:44,,,,,,Timeout #1 by Green Bay Packers,,
1,0:44,3,2,NOR 46,0,7,Emanuel Wilson up the middle for 1 yard (tackle by Alontae Taylor and Ugo Amadi),1.820,0.270
2,15:00,4,1,NOR 45,0,7,Jordan Love up the middle for 2 yards (tackle by Bryan Bresee),0.270,2.720
2,14:21,1,10,NOR 43,0,7,Josh Jacobs right end for 3 yards (tackle by Cameron Jordan and Carl Granderson),2.720,2.580
2,13:38,2,7,NOR 40,0,7,Jordan Love pass incomplete short left,2.580,1.880
2,13:32,3,7,NOR 40,0,7,Jordan Love pass complete short right to Romeo Doubs for 5 yards (tackle by Will Harris),1.880,0.990
2,12:54,4,2,NOR 35,0,7,Jordan Love pass complete short left to Tucker Kraft for 21 yards (tackle by Kool-Aid McKinstry),0.990,4.650
2,12:08,1,10,NOR 14,0,7,Josh Jacobs left end for 12 yards (tackle by Pete Werner and Will Harris),4.650,6.740
2,11:47,1,2,NOR 2,0,13,Josh Jacobs left tackle for 2 yards touchdown,6.740,7.000
2,11:43,,,NOR 15,0,14,Brandon McManus kicks extra point good,0.000,0.000
2,11:43,,,GNB 35,0,14,Brandon McManus kicks off 65 yards touchback.,0.000,0.940
2,11:43,1,10,NOR 30,0,14,Kendre Miller right end for -3 yards (tackle by Edgerrin Cooper),0.940,-0.010
2,11:04,2,13,NOR 27,0,14,Penalty on Taliese Fuaga: False Start 5 yards (accepted) (no play),-0.010,-0.690
2,10:48,2,18,NOR 22,0,14,Spencer Rattler scrambles right end for 2 yards (tackle by Edgerrin Cooper),-0.690,-1.090
2,10:09,3,16,NOR 24,0,14,Spencer Rattler pass complete short right to Jordan Mims for 6 yards (tackle by Eric Stokes),-1.090,-1.370
2,9:32,4,10,NOR 30,0,14,Matthew Hayball punts 37 yards fair catch by Jayden Reed at GB-33,-1.370,-1.140
2,9:25,1,10,GNB 33,0,14,Christian Watson right end for 9 yards (tackle by Demario Davis),1.140,1.810
2,8:45,2,1,GNB 42,0,14,Jordan Love pass complete short middle to Tucker Kraft for 30 yards (tackle by Demario Davis),1.810,3.710
2,8:01,1,10,NOR 28,0,14,Emanuel Wilson right tackle for 8 yards (tackle by Kool-Aid McKinstry and Willie Gay),3.710,4.250
2,7:20,2,2,NOR 20,0,14,Christian Watson left end for 14 yards (tackle by Alontae Taylor),4.250,5.830
2,6:55,1,6,NOR 6,0,14,Jordan Love pass complete short middle to Jayden Reed for 5 yards (tackle by Will Harris),5.830,5.910
