Quarter,Time,Down,ToGo,Location,LAR,CHI,Detail,EPB,EPA
,,,,,,,Rams won the coin toss and deferred Bears to receive the opening kickoff.,,
1,15:00,,,LAR 35,0,0,Ethan Evans kicks off 65 yards touchback.. Penalty on Tarvarius Moore: Illegal Formation 5 yards (accepted),0.000,0.610
1,15:00,1,10,CHI 25,0,0,D'Andre Swift right end for 6 yards (tackle by Cobie Durant and Kamren Curl),0.610,0.870
1,14:23,2,4,CHI 31,0,0,Caleb Williams pass complete short right to Keenan Allen for 5 yards (tackle by Cobie Durant),0.870,1.330
1,13:41,1,10,CHI 36,0,0,D'Andre Swift right end for 2 yards (tackle by Christian Rozeboom),1.330,1.060
1,13:03,2,8,CHI 38,0,0,D'Andre Swift right end for 4 yards (tackle by Kamren Curl and Kobie Turner),1.060,0.890
1,12:18,3,4,CHI 42,0,0,Caleb Williams pass complete short left to Cole Kmet for 2 yards (tackle by Quentin Lake),0.890,-0.460
1,11:35,4,2,CHI 44,0,0,Tory Taylor punts 51 yards downed by Jaylon Jones,-0.460,0.380
1,11:24,1,10,LAR 5,0,0,Matthew Stafford pass incomplete short middle intended for Colby Parkinson,-0.380,-0.780
1,11:19,2,10,LAR 5,0,0,Kyren Williams left guard for 5 yards (tackle by DeMarcus Walker),-0.780,-0.840
1,10:39,3,5,LAR 10,0,0,Matthew Stafford pass complete short middle to Colby Parkinson for 6 yards (tackle by Jaquan Brisker),-0.840,-0.140
1,10:02,1,10,LAR 16,0,0,Kyren Williams left guard for 5 yards (tackle by T.J. Edwards),-0.140,0.150
1,9:23,2,5,LAR 21,0,0,Matthew Stafford pass complete deep left to Demarcus Robinson for 19 yards (tackle by Jaylon Johnson),0.150,1.600
1,8:45,1,10,LAR 40,0,0,Matthew Stafford pass complete short left to Kyren Williams for 2 yards (tackle by Austin Booker),1.600,1.320
1,8:03,2,8,LAR 42,0,0,Matthew Stafford pass complete short middle to Jordan Whittington for 14 yards (tackle by Tyrique Stevenson and T.J. Edwards),1.320,2.650
1,7:28,1,10,CHI 44,0,0,Kyren Williams right tackle for 5 yards (tackle by Darrell Taylor and Kevin Byard),2.650,2.780
1,6:53,2,5,CHI 39,0,0,Matthew Stafford pass complete short right to Colby Parkinson for 9 yards (tackle by Austin Booker),2.780,3.580
1,6:12,1,10,CHI 30,0,0,Matthew Stafford sacked by Gervon Dexter for -8 yards,3.580,1.950
1,5:30,2,18,CHI 38,0,0,Kyren Williams right guard for 5 yards (tackle by T.J. Edwards and Tyrique Stevenson),1.950,1.950
1,4:49,3,13,CHI 33,0,0,Kyren Williams right guard for 6 yards (tackle by DeMarcus Walker and T.J. Edwards),1.950,1.670
1,4:06,4,7,CHI 27,3,0,Joshua Karty 46 yard field goal good,1.670,3.000
1,4:01,,,LAR 35,3,0,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
1,3:44,1,10,CHI 30,3,0,Caleb Williams pass complete short left to D.J. Moore for -5 yards (tackle by Tre'Davious White). Penalty on Braxton Jones: Illegal Blindside Block 15 yards (accepted) (no play),0.940,-0.500
1,3:35,1,25,CHI 15,3,0,D'Andre Swift right guard for 6 yards (tackle by Troy Reeder),-0.500,-0.820
1,2:56,2,19,CHI 21,3,0,Caleb Williams pass complete short right to D.J. Moore for 6 yards (tackle by Troy Reeder),-0.820,-0.690
1,2:14,3,13,CHI 27,3,0,Caleb Williams pass incomplete short right,-0.690,-1.570
1,2:07,4,13,CHI 27,3,0,Tory Taylor punts 64 yards returned by Xavier Smith for 17 yards (tackle by Jack Sanborn),-1.570,-0.670
1,1:56,1,10,LAR 26,3,0,Kyren Williams left guard for -1 yards (tackle by T.J. Edwards),0.670,-0.010
1,1:19,2,11,LAR 25,3,0,Matthew Stafford pass complete short middle to Jordan Whittington for 9 yards (tackle by T.J. Edwards and Kyler Gordon),-0.010,0.500
1,0:37,3,2,LAR 34,3,0,Kyren Williams left tackle for 8 yards (tackle by Kevin Byard and Jaquan Brisker),0.500,1.730
1,0:02,1,10,LAR 42,3,0,Penalty on Chris Williams: Encroachment 5 yards (accepted) (no play),1.730,2.460
2,15:00,1,5,LAR 47,3,0,Penalty on Alaric Jackson: False Start 5 yards (accepted) (no play),2.460,1.730
2,15:00,1,10,LAR 42,3,0,Matthew Stafford pass complete deep right to Tutu Atwell for 18 yards (tackle by Tyrique Stevenson). Penalty on Jaquan Brisker: Personal Foul / Defense 15 yards (accepted),1.730,3.910
2,14:40,1,10,CHI 25,3,0,Kyren Williams right tackle for 1 yard (tackle by Montez Sweat),3.910,3.500
2,13:57,2,9,CHI 24,3,0,Matthew Stafford pass complete short left to Jordan Whittington for 6 yards (tackle by Kyler Gordon),3.500,3.660
2,13:14,,,,,,Timeout #1 by Los Angeles Rams,,
2,13:14,3,3,CHI 18,3,0,Matthew Stafford pass intended for Colby Parkinson is intercepted by Jaquan Brisker in end zone and returned for no gain Replay Assistant challenged the runner was in bounds ruling and the original play was overturned. Matthew Stafford pass incomplete deep left intended for Colby Parkinson,3.660,2.350
2,13:09,4,3,CHI 18,6,0,Joshua Karty 37 yard field goal good,2.350,3.000
2,13:05,,,LAR 35,6,0,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
2,13:05,1,10,CHI 30,6,0,Roschon Johnson right guard for 4 yards (tackle by Bobby Brown and Tyler Davis),0.940,0.930
2,12:37,2,6,CHI 34,6,0,Caleb Williams left end for 7 yards (tackle by Jared Verse),0.930,1.660
2,12:13,1,10,CHI 41,6,0,Penalty on Darnell Wright: False Start 5 yards (accepted) (no play),1.660,1.330
2,11:56,1,15,CHI 36,6,0,Caleb Williams pass complete short left to D'Andre Swift for 5 yards (tackle by Christian Rozeboom),1.330,1.120
2,11:17,2,10,CHI 41,6,0,Caleb Williams pass complete to D.J. Moore for no gain. Penalty on Coleman Shelton: Offensive Holding 10 yards (accepted) (no play),1.120,-0.230
2,10:57,2,20,CHI 31,6,0,Caleb Williams pass complete short middle to Rome Odunze for 10 yards (tackle by Troy Reeder and Christian Rozeboom),-0.230,0.430
2,10:14,3,10,CHI 41,6,0,Caleb Williams sacked by Jared Verse for no gain. Penalty on Tre'Davious White: Defensive Holding 5 yards (accepted) (no play),0.430,1.990
2,9:53,1,10,CHI 46,6,0,Roschon Johnson left tackle for 4 yards (tackle by Troy Reeder),1.990,1.990
2,9:29,2,6,CHI 50,6,0,Caleb Williams sacked by Jared Verse for no gain. Penalty on Kamren Curl: Defensive Holding 5 yards (accepted) (no play),1.990,2.590
2,8:59,1,10,LAR 45,6,0,Caleb Williams pass incomplete deep right intended for Rome Odunze,2.590,2.040
