Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
,,,,,,,Buccaneers won the coin toss and deferred Panthers to receive the opening kickoff.,,
1,15:00,,,TAM 35,0,0,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,CAR 30,0,0,Bryce Young pass complete short left to Xavier Legette for 5 yards (tackle by Jamel Dean),0.940,1.070
1,14:23,2,5,CAR 35,0,0,Bryce Young pass incomplete deep left intended for Feleipe Franks,1.070,0.370
1,14:19,3,5,CAR 35,0,0,Bryce Young pass incomplete deep left intended for Adam Thielen. Penalty on Tommy Tremble: Offensive Offside 5 yards (declined),0.370,-1.040
1,14:15,4,5,CAR 35,0,0,Johnny Hekker punts 39 yards out of bounds,-1.040,-0.670
1,14:06,1,10,TAM 26,0,0,Rachaad White right tackle for 6 yards (tackle by Josey Jewell and Jadeveon Clowney),0.670,0.940
1,13:26,2,4,TAM 32,0,0,Baker Mayfield aborted snap recovered by Baker Mayfield at TB-32 and returned for -7 yards (tackle by Josey Jewell),0.940,-0.690
1,12:50,3,11,TAM 25,0,0,Baker Mayfield pass incomplete deep middle intended for Mike Evans (defended by Jaycee Horn),-0.690,-1.700
1,12:46,4,11,TAM 25,0,0,Trenton Gill punts 54 yards downed by Evan Deckers,-1.700,-0.340
1,12:33,1,10,CAR 21,0,0,Chuba Hubbard up the middle for 5 yards (tackle by Logan Hall),0.340,0.480
1,12:01,2,5,CAR 26,0,0,Chuba Hubbard left end for 2 yards (tackle by YaYa Diaby),0.480,0.040
1,11:34,3,3,CAR 28,0,0,Bryce Young scrambles left guard for 2 yards (tackle by Antoine Winfield),0.040,-1.370
1,10:46,4,1,CAR 30,0,0,Johnny Hekker punts 33 yards downed by Claudin Cherelus,-1.370,-1.400
1,10:35,1,10,TAM 37,0,0,Rachaad White right tackle for 11 yards (tackle by Chau Smith-Wade and Jordan Fuller),1.400,2.130
1,9:54,1,10,TAM 48,0,0,Baker Mayfield pass incomplete short right intended for Mike Evans (defended by Shy Tuttle),2.130,1.580
1,9:51,2,10,TAM 48,0,0,Baker Mayfield pass complete short left to Sterling Shepard for 21 yards (tackle by D.J. Wonnum),1.580,3.510
1,9:13,1,10,CAR 31,0,0,Bucky Irving right tackle for 11 yards (tackle by Jordan Fuller),3.510,4.240
1,8:36,1,10,CAR 20,0,0,Bucky Irving up the middle for 4 yards (tackle by DJ Johnson),4.240,4.280
1,8:02,2,6,CAR 16,0,0,Bucky Irving left tackle for 2 yards (tackle by Cam Gill),4.280,3.890
1,7:25,3,4,CAR 14,0,0,Rachaad White left tackle for 3 yards (tackle by A'Shawn Robinson),3.890,2.850
1,6:44,4,1,CAR 11,0,0,Rachaad White up the middle for 2 yards (tackle by Trevin Wallace and Jaycee Horn),2.850,5.140
1,6:04,1,9,CAR 9,0,0,Bucky Irving up the middle for 5 yards (tackle by Chau Smith-Wade and D.J. Wonnum),5.140,5.340
1,5:22,2,4,CAR 4,0,0,Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Jaycee Horn),5.340,4.490
1,5:17,3,4,CAR 4,0,0,Baker Mayfield pass incomplete short left intended for Mike Evans. Penalty on Michael Jackson: Defensive Pass Interference 3 yards (accepted) (no play),4.490,6.970
1,5:13,1,1,CAR 1,0,0,Bucky Irving up the middle for -1 yards (tackle by A'Shawn Robinson and Josey Jewell),6.970,5.720
1,4:34,2,2,CAR 2,6,0,Baker Mayfield pass complete short left to Mike Evans for 2 yards touchdown,5.720,7.000
1,4:29,,,CAR 15,7,0,Chase McLaughlin kicks extra point good,0.000,0.000
1,4:29,,,TAM 35,7,0,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
1,4:29,1,10,CAR 30,7,0,Bryce Young pass complete short right to Jonathon Brooks for 18 yards (tackle by Christian Izien and Anthony Nelson),0.940,2.130
1,3:44,1,10,CAR 48,7,0,Jonathon Brooks up the middle for 1 yard (tackle by Vita Vea and Mike Edwards),2.130,1.720
1,3:01,2,9,CAR 49,7,0,Bryce Young pass complete short left to Xavier Legette for 13 yards (tackle by Jamel Dean),1.720,3.050
1,2:17,1,10,TAM 38,7,0,Bryce Young pass incomplete short middle,3.050,2.510
1,2:13,2,10,TAM 38,7,0,Bryce Young pass complete short middle to David Moore for 7 yards (tackle by Lavonte David),2.510,2.740
1,1:38,3,3,TAM 31,7,0,Chuba Hubbard up the middle for 2 yards (tackle by YaYa Diaby and Mike Edwards),2.740,1.620
1,0:52,4,1,TAM 29,7,3,Eddy Piñeiro 47 yard field goal good,1.620,3.000
1,0:48,,,CAR 35,7,3,Eddy Piñeiro kicks off 64 yards returned by Sean Tucker for 25 yards (tackle by Amare Barno),0.000,0.670
1,0:42,1,10,TAM 26,7,3,Bucky Irving up the middle for 1 yard (tackle by Xavier Woods),0.670,0.270
1,0:08,2,9,TAM 27,7,3,Baker Mayfield pass incomplete deep left intended for Sterling Shepard (defended by Michael Jackson),0.270,-0.430
1,0:03,3,9,TAM 27,7,3,Baker Mayfield pass incomplete deep right intended for Trey Palmer,-0.430,-1.570
2,15:00,4,9,TAM 27,7,3,Trenton Gill punts 52 yards returned by Raheem Blackshear for 3 yards (tackle by Josh Hayes),-1.570,-0.540
2,14:51,1,10,CAR 24,7,3,Chuba Hubbard up the middle for -1 yards (tackle by YaYa Diaby),0.540,-0.140
2,14:16,2,11,CAR 23,7,3,Bryce Young pass complete short left to Xavier Legette for 14 yards (tackle by Antoine Winfield),-0.140,1.400
2,13:40,1,10,CAR 37,7,3,Bryce Young pass incomplete short right intended for Tommy Tremble,1.400,0.860
